Episode 209 done, steps = 214849, loss = 3.052222728729248, rewards = -18.0, consume time = 7149.680092096329s
Episode 210 done, steps = 215983, loss = 3.49967622756958, rewards = -20.0, consume time = 7189.351495265961s
Episode 211 done, steps = 217172, loss = 2.9940977096557617, rewards = -20.0, consume time = 7227.933593034744s
Episode 212 done, steps = 218215, loss = 3.1178646087646484, rewards = -20.0, consume time = 7261.7746250629425s
Episode 213 done, steps = 219342, loss = 2.818889856338501, rewards = -20.0, consume time = 7298.297533988953s
Episode 214 done, steps = 220823, loss = 3.373471260070801, rewards = -18.0, consume time = 7346.254858970642s
Episode 215 done, steps = 221953, loss = 2.2078633308410645, rewards = -20.0, consume time = 7382.911353111267s
Episode 216 done, steps = 223228, loss = 2.1683578491210938, rewards = -20.0, consume time = 7424.1153819561005s
Episode 217 done, steps = 224443, loss = 2.259943962097168, rewards = -19.0, consume time = 7463.475269079208s
Episode 218 done, steps = 225471, loss = 2.337205410003662, rewards = -19.0, consume time = 7496.887976884842s
Episode 219 done, steps = 226666, loss = 2.319064140319824, rewards = -17.0, consume time = 7538.774528980255s
Episode 220 done, steps = 227869, loss = 2.1975760459899902, rewards = -21.0, consume time = 7577.875748157501s
Episode 221 done, steps = 229134, loss = 3.563546657562256, rewards = -19.0, consume time = 7618.894196033478s
Episode 222 done, steps = 230202, loss = 2.231865644454956, rewards = -21.0, consume time = 7653.876362085342s
Episode 223 done, steps = 231168, loss = 2.018946409225464, rewards = -21.0, consume time = 7685.204313993454s
Episode 224 done, steps = 232325, loss = 2.3280467987060547, rewards = -19.0, consume time = 7722.766807079315s
Episode 225 done, steps = 233431, loss = 2.3481192588806152, rewards = -19.0, consume time = 7758.534098148346s
Episode 226 done, steps = 234913, loss = 3.1608190536499023, rewards = -16.0, consume time = 7806.55594420433s
Episode 227 done, steps = 235919, loss = 2.179915428161621, rewards = -21.0, consume time = 7839.28519487381s
Episode 228 done, steps = 237237, loss = 3.1849257946014404, rewards = -18.0, consume time = 7885.065207004547s
Episode 229 done, steps = 238430, loss = 3.1963448524475098, rewards = -19.0, consume time = 7923.851124048233s
Episode 230 done, steps = 239529, loss = 3.0843868255615234, rewards = -19.0, consume time = 7959.502930164337s
Episode 231 done, steps = 240659, loss = 3.411652088165283, rewards = -21.0, consume time = 7996.1134650707245s
Episode 232 done, steps = 241665, loss = 3.1297953128814697, rewards = -21.0, consume time = 8028.784929037094s
Episode 233 done, steps = 242665, loss = 3.5299386978149414, rewards = -20.0, consume time = 8061.163574934006s
Episode 234 done, steps = 244246, loss = 4.193736553192139, rewards = -17.0, consume time = 8112.350289106369s
Episode 235 done, steps = 245447, loss = 3.020075798034668, rewards = -19.0, consume time = 8151.381293058395s
Episode 236 done, steps = 246520, loss = 2.457003355026245, rewards = -19.0, consume time = 8186.096573114395s
Episode 237 done, steps = 247773, loss = 3.847870111465454, rewards = -18.0, consume time = 8227.5147960186s
Episode 238 done, steps = 249011, loss = 3.7552266120910645, rewards = -19.0, consume time = 8269.895750045776s
Episode 239 done, steps = 250188, loss = 3.7233612537384033, rewards = -19.0, consume time = 8308.062627077103s
Episode 240 done, steps = 251585, loss = 3.8610780239105225, rewards = -20.0, consume time = 8353.521436214447s
Episode 241 done, steps = 252590, loss = 2.7104411125183105, rewards = -21.0, consume time = 8386.088340044022s
Episode 242 done, steps = 253881, loss = 3.4996726512908936, rewards = -18.0, consume time = 8427.82987689972s
Episode 243 done, steps = 255014, loss = 3.439422845840454, rewards = -20.0, consume time = 8464.589934110641s
Episode 244 done, steps = 256214, loss = 3.2222418785095215, rewards = -20.0, consume time = 8503.43921303749s
Episode 245 done, steps = 257451, loss = 3.1125540733337402, rewards = -18.0, consume time = 8543.481032133102s
Episode 246 done, steps = 258605, loss = 3.0322446823120117, rewards = -19.0, consume time = 8580.836658239365s
Episode 247 done, steps = 259942, loss = 3.396597385406494, rewards = -18.0, consume time = 8627.265804052353s
Episode 248 done, steps = 261075, loss = 2.903421640396118, rewards = -21.0, consume time = 8664.055431127548s
Episode 249 done, steps = 262406, loss = 2.448740005493164, rewards = -18.0, consume time = 8707.055581092834s
Episode 250 done, steps = 263708, loss = 2.8618335723876953, rewards = -18.0, consume time = 8749.20526099205s
Episode 251 done, steps = 264738, loss = 2.1984496116638184, rewards = -21.0, consume time = 8782.533215045929s
Episode 252 done, steps = 266247, loss = 2.979558229446411, rewards = -17.0, consume time = 8831.4460709095s
Episode 253 done, steps = 267586, loss = 2.5995523929595947, rewards = -19.0, consume time = 8874.869117975235s
Episode 254 done, steps = 268837, loss = 2.494619369506836, rewards = -19.0, consume time = 8915.414911985397s
Episode 255 done, steps = 270120, loss = 3.0142273902893066, rewards = -17.0, consume time = 8960.020561218262s
Episode 256 done, steps = 271233, loss = 2.495222568511963, rewards = -21.0, consume time = 8996.103317022324s
Episode 257 done, steps = 272250, loss = 2.3368849754333496, rewards = -21.0, consume time = 9029.071293115616s
Episode 258 done, steps = 273363, loss = 2.758906364440918, rewards = -20.0, consume time = 9065.060526132584s
Episode 259 done, steps = 274470, loss = 2.8809337615966797, rewards = -21.0, consume time = 9100.975394010544s
Episode 260 done, steps = 275574, loss = 2.410078287124634, rewards = -20.0, consume time = 9136.732178211212s
Episode 261 done, steps = 276854, loss = 2.546398639678955, rewards = -19.0, consume time = 9178.190948009491s
Episode 262 done, steps = 277987, loss = 2.56221342086792, rewards = -21.0, consume time = 9214.820669174194s
Episode 263 done, steps = 279025, loss = 2.4480409622192383, rewards = -20.0, consume time = 9248.42947602272s
Episode 264 done, steps = 280356, loss = 3.2349812984466553, rewards = -18.0, consume time = 9291.511688947678s
Episode 265 done, steps = 281433, loss = 2.889244794845581, rewards = -20.0, consume time = 9329.477126121521s
Episode 266 done, steps = 282638, loss = 3.1416139602661133, rewards = -19.0, consume time = 9368.492757081985s
Episode 267 done, steps = 283816, loss = 2.9779245853424072, rewards = -21.0, consume time = 9406.699743032455s
Episode 268 done, steps = 284944, loss = 3.0852410793304443, rewards = -19.0, consume time = 9443.287446975708s
Episode 269 done, steps = 285900, loss = 2.0776708126068115, rewards = -20.0, consume time = 9474.39605307579s
Episode 270 done, steps = 287311, loss = 3.233203649520874, rewards = -18.0, consume time = 9520.200924158096s
Episode 271 done, steps = 288428, loss = 2.692842960357666, rewards = -21.0, consume time = 9556.590141057968s
Episode 272 done, steps = 289386, loss = 2.187309741973877, rewards = -20.0, consume time = 9587.673644065857s
Episode 273 done, steps = 290636, loss = 2.958909749984741, rewards = -19.0, consume time = 9628.318521976471s
Episode 274 done, steps = 291789, loss = 2.70509934425354, rewards = -18.0, consume time = 9668.498178005219s
Episode 275 done, steps = 292889, loss = 2.8283047676086426, rewards = -20.0, consume time = 9704.497400045395s
