Episode 313 done, steps = 240563, rewards = -21.0, consume time = 8578.188182115555s
Episode 314 done, steps = 241327, rewards = -21.0, consume time = 8603.916977882385s
Episode 315 done, steps = 242091, rewards = -21.0, consume time = 8629.747095823288s
Episode 316 done, steps = 242855, rewards = -21.0, consume time = 8655.034868001938s
Episode 317 done, steps = 243619, rewards = -21.0, consume time = 8680.37906384468s
Episode 318 done, steps = 244383, rewards = -21.0, consume time = 8706.228625059128s
Episode 319 done, steps = 245147, rewards = -21.0, consume time = 8732.515159845352s
Episode 320 done, steps = 245911, rewards = -21.0, consume time = 8758.757508993149s
Episode 321 done, steps = 246675, rewards = -21.0, consume time = 8784.988196849823s
Episode 322 done, steps = 247439, rewards = -21.0, consume time = 8811.380494832993s
Episode 323 done, steps = 248203, rewards = -21.0, consume time = 8837.69036102295s
Episode 324 done, steps = 248967, rewards = -21.0, consume time = 8864.035300970078s
Episode 325 done, steps = 249731, rewards = -21.0, consume time = 8889.636965990067s
Episode 326 done, steps = 250495, rewards = -21.0, consume time = 8914.854198932648s
Episode 327 done, steps = 251259, rewards = -21.0, consume time = 8947.351298809052s
Episode 328 done, steps = 252023, rewards = -21.0, consume time = 8974.060675859451s
Episode 329 done, steps = 252787, rewards = -21.0, consume time = 9000.268546819687s
Episode 330 done, steps = 253551, rewards = -21.0, consume time = 9026.578768968582s
Episode 331 done, steps = 254315, rewards = -21.0, consume time = 9052.823563814163s
Episode 332 done, steps = 255079, rewards = -21.0, consume time = 9079.109793901443s
Episode 333 done, steps = 255843, rewards = -21.0, consume time = 9104.833839893341s
Episode 334 done, steps = 256667, rewards = -21.0, consume time = 9134.565726041794s
Episode 335 done, steps = 257431, rewards = -21.0, consume time = 9160.95980978012s
Episode 336 done, steps = 258195, rewards = -21.0, consume time = 9187.275205850601s
Episode 337 done, steps = 258959, rewards = -21.0, consume time = 9213.537110805511s
Episode 338 done, steps = 259723, rewards = -21.0, consume time = 9239.826798915863s
Episode 339 done, steps = 260487, rewards = -21.0, consume time = 9265.976139068604s
Episode 340 done, steps = 261251, rewards = -21.0, consume time = 9291.927553892136s
Episode 341 done, steps = 262015, rewards = -21.0, consume time = 9323.425796985626s
Episode 342 done, steps = 262779, rewards = -21.0, consume time = 9351.309654951096s
Episode 343 done, steps = 263543, rewards = -21.0, consume time = 9376.600111961365s
Episode 344 done, steps = 264307, rewards = -21.0, consume time = 9401.927829027176s
Episode 345 done, steps = 265071, rewards = -21.0, consume time = 9427.833263874054s
Episode 346 done, steps = 265835, rewards = -21.0, consume time = 9454.129513978958s
Episode 347 done, steps = 266599, rewards = -21.0, consume time = 9480.411597967148s
Episode 348 done, steps = 267363, rewards = -21.0, consume time = 9506.590364933014s
Episode 349 done, steps = 268145, rewards = -21.0, consume time = 9533.555343866348s
Episode 350 done, steps = 268909, rewards = -21.0, consume time = 9559.032114982605s
Episode 351 done, steps = 269673, rewards = -21.0, consume time = 9584.301719903946s
Episode 352 done, steps = 270437, rewards = -21.0, consume time = 9610.140677928925s
Episode 353 done, steps = 271201, rewards = -21.0, consume time = 9636.37375497818s
Episode 354 done, steps = 271965, rewards = -21.0, consume time = 9662.941835165024s
Episode 355 done, steps = 272729, rewards = -21.0, consume time = 9691.53273510933s
Episode 356 done, steps = 273493, rewards = -21.0, consume time = 9722.891597986221s
Episode 357 done, steps = 274257, rewards = -21.0, consume time = 9749.371352910995s
Episode 358 done, steps = 275021, rewards = -21.0, consume time = 9775.162812948227s
Episode 359 done, steps = 275785, rewards = -21.0, consume time = 9800.456090927124s
Episode 360 done, steps = 276549, rewards = -21.0, consume time = 9825.748567819595s
Episode 361 done, steps = 277313, rewards = -21.0, consume time = 9851.006376981735s
Episode 362 done, steps = 278077, rewards = -21.0, consume time = 9876.334654092789s
Episode 363 done, steps = 278841, rewards = -21.0, consume time = 9901.814527988434s
Episode 364 done, steps = 279605, rewards = -21.0, consume time = 9928.222498893738s
Episode 365 done, steps = 280369, rewards = -21.0, consume time = 9954.66561293602s
Episode 366 done, steps = 281133, rewards = -21.0, consume time = 9981.472555875778s
