Episode 309 done, steps = 160855, rewards = 475.0, consume time = 625.0722529888153s
Episode 310 done, steps = 161730, rewards = 410.0, consume time = 628.5258197784424s
Episode 311 done, steps = 162325, rewards = 155.0, consume time = 630.9282350540161s
Episode 312 done, steps = 162693, rewards = 55.0, consume time = 632.4266049861908s
Episode 313 done, steps = 163037, rewards = 75.0, consume time = 633.8419210910797s
Episode 314 done, steps = 163655, rewards = 105.0, consume time = 636.2884421348572s
Episode 315 done, steps = 164112, rewards = 75.0, consume time = 638.112242937088s
Episode 316 done, steps = 164645, rewards = 175.0, consume time = 640.1412129402161s
Episode 317 done, steps = 165714, rewards = 240.0, consume time = 644.2151579856873s
Episode 318 done, steps = 166160, rewards = 60.0, consume time = 646.0535359382629s
Episode 319 done, steps = 166720, rewards = 120.0, consume time = 648.3147478103638s
Episode 320 done, steps = 167190, rewards = 145.0, consume time = 650.1757061481476s
Episode 321 done, steps = 167443, rewards = 20.0, consume time = 651.2280089855194s
Episode 322 done, steps = 168197, rewards = 285.0, consume time = 654.2274627685547s
Episode 323 done, steps = 168719, rewards = 145.0, consume time = 656.3327610492706s
Episode 324 done, steps = 169202, rewards = 110.0, consume time = 658.3041489124298s
Episode 325 done, steps = 169663, rewards = 95.0, consume time = 660.1506760120392s
Episode 326 done, steps = 170177, rewards = 185.0, consume time = 662.2370338439941s
Episode 327 done, steps = 170582, rewards = 75.0, consume time = 663.8702080249786s
Episode 328 done, steps = 170953, rewards = 75.0, consume time = 665.3829839229584s
Episode 329 done, steps = 171483, rewards = 130.0, consume time = 667.5672161579132s
Episode 330 done, steps = 171784, rewards = 105.0, consume time = 668.845556974411s
Episode 331 done, steps = 172328, rewards = 135.0, consume time = 670.9539918899536s
Episode 332 done, steps = 172804, rewards = 135.0, consume time = 672.8994941711426s
Episode 333 done, steps = 173068, rewards = 45.0, consume time = 674.0048370361328s
Episode 334 done, steps = 173437, rewards = 90.0, consume time = 675.4474990367889s
Episode 335 done, steps = 174276, rewards = 280.0, consume time = 678.707248210907s
Episode 336 done, steps = 174768, rewards = 105.0, consume time = 680.7496869564056s
Episode 337 done, steps = 175372, rewards = 140.0, consume time = 683.1733849048615s
Episode 338 done, steps = 176266, rewards = 715.0, consume time = 686.6447868347168s
Episode 339 done, steps = 176720, rewards = 75.0, consume time = 688.3687999248505s
Episode 340 done, steps = 177182, rewards = 105.0, consume time = 690.1712870597839s
Episode 341 done, steps = 177884, rewards = 255.0, consume time = 692.9285078048706s
Episode 342 done, steps = 178363, rewards = 120.0, consume time = 694.8290839195251s
Episode 343 done, steps = 178847, rewards = 135.0, consume time = 696.7214419841766s
Episode 344 done, steps = 179505, rewards = 440.0, consume time = 699.3209729194641s
Episode 345 done, steps = 180104, rewards = 155.0, consume time = 701.7221360206604s
Episode 346 done, steps = 180570, rewards = 125.0, consume time = 703.628350019455s
Episode 347 done, steps = 181082, rewards = 125.0, consume time = 705.7119269371033s
Episode 348 done, steps = 181488, rewards = 80.0, consume time = 707.3369741439819s
Episode 349 done, steps = 182407, rewards = 260.0, consume time = 710.9866709709167s
Episode 350 done, steps = 182833, rewards = 55.0, consume time = 712.71244597435s
Episode 351 done, steps = 183265, rewards = 50.0, consume time = 714.4187750816345s
Episode 352 done, steps = 183858, rewards = 125.0, consume time = 716.7394330501556s
Episode 353 done, steps = 184473, rewards = 215.0, consume time = 719.2347807884216s
Episode 354 done, steps = 185106, rewards = 210.0, consume time = 721.7835838794708s
Episode 355 done, steps = 185599, rewards = 175.0, consume time = 723.6889379024506s
Episode 356 done, steps = 185974, rewards = 55.0, consume time = 725.1476259231567s
Episode 357 done, steps = 186268, rewards = 30.0, consume time = 726.3942120075226s
Episode 358 done, steps = 187226, rewards = 205.0, consume time = 730.1034989356995s
Episode 359 done, steps = 187777, rewards = 190.0, consume time = 732.3732640743256s
Episode 360 done, steps = 188258, rewards = 210.0, consume time = 734.2613308429718s
Episode 361 done, steps = 188765, rewards = 290.0, consume time = 736.3330948352814s
Episode 362 done, steps = 189195, rewards = 50.0, consume time = 738.0529220104218s
Episode 363 done, steps = 189590, rewards = 95.0, consume time = 739.623379945755s
Episode 364 done, steps = 190044, rewards = 105.0, consume time = 741.482183933258s
Episode 365 done, steps = 190665, rewards = 240.0, consume time = 743.9298460483551s
Episode 366 done, steps = 191056, rewards = 50.0, consume time = 745.4715690612793s
Episode 367 done, steps = 191707, rewards = 210.0, consume time = 748.0062429904938s
Episode 368 done, steps = 192230, rewards = 65.0, consume time = 750.178957939148s
