Episode 108 done, steps = 26986, actions = [0:37/250 | 1:45/250 | 2:108/250 | 3:40/250 | 4:20/250 | ], loss = 53.034339904785156, rewards = -27.335640138408372, consume time = 1648.5985043048859s
Episode 109 done, steps = 27236, actions = [0:33/250 | 1:50/250 | 2:60/250 | 3:94/250 | 4:13/250 | ], loss = 55.776397705078125, rewards = 85.05338078292178, consume time = 1663.7794859409332s
Episode 110 done, steps = 27486, actions = [0:85/250 | 1:33/250 | 2:59/250 | 3:56/250 | 4:17/250 | ], loss = 54.49692916870117, rewards = -37.68545994065307, consume time = 1679.2444531917572s
Episode 111 done, steps = 27736, actions = [0:82/250 | 1:47/250 | 2:32/250 | 3:77/250 | 4:12/250 | ], loss = 55.18984603881836, rewards = 29.963898916966905, consume time = 1694.5434579849243s
Episode 112 done, steps = 27986, actions = [0:62/250 | 1:41/250 | 2:51/250 | 3:80/250 | 4:16/250 | ], loss = 58.401031494140625, rewards = 49.12280701754382, consume time = 1710.1307020187378s
Episode 113 done, steps = 28236, actions = [0:25/250 | 1:90/250 | 2:29/250 | 3:79/250 | 4:27/250 | ], loss = 62.99345397949219, rewards = -42.12218649517708, consume time = 1725.4689102172852s
Episode 114 done, steps = 28486, actions = [0:35/250 | 1:22/250 | 2:23/250 | 3:60/250 | 4:110/250 | ], loss = 55.421653747558594, rewards = 38.79003558719017, consume time = 1741.1910729408264s
Episode 115 done, steps = 28736, actions = [0:51/250 | 1:20/250 | 2:46/250 | 3:48/250 | 4:85/250 | ], loss = 51.095306396484375, rewards = -21.64179104477677, consume time = 1756.9313690662384s
Episode 116 done, steps = 28986, actions = [0:27/250 | 1:28/250 | 2:68/250 | 3:110/250 | 4:17/250 | ], loss = 52.53104782104492, rewards = 142.81150159744698, consume time = 1773.086326122284s
Episode 117 done, steps = 29236, actions = [0:39/250 | 1:55/250 | 2:68/250 | 3:71/250 | 4:17/250 | ], loss = 51.91101837158203, rewards = 20.56737588652504, consume time = 1789.1160192489624s
Episode 118 done, steps = 29486, actions = [0:35/250 | 1:46/250 | 2:69/250 | 3:92/250 | 4:8/250 | ], loss = 58.35361099243164, rewards = 39.37282229965079, consume time = 1804.5991690158844s
Episode 119 done, steps = 29736, actions = [0:31/250 | 1:59/250 | 2:50/250 | 3:87/250 | 4:23/250 | ], loss = 53.64858627319336, rewards = 33.07984790874731, consume time = 1819.6389701366425s
Episode 120 done, steps = 29986, actions = [0:101/250 | 1:48/250 | 2:21/250 | 3:69/250 | 4:11/250 | ], loss = 53.64439010620117, rewards = -31.034482758621404, consume time = 1834.4539911746979s
Episode 121 done, steps = 30236, actions = [0:34/250 | 1:60/250 | 2:34/250 | 3:74/250 | 4:48/250 | ], loss = 56.617557525634766, rewards = 74.07407407407763, consume time = 1849.4156181812286s
Episode 122 done, steps = 30486, actions = [0:29/250 | 1:40/250 | 2:29/250 | 3:56/250 | 4:96/250 | ], loss = 54.95195388793945, rewards = 5.431309904153029, consume time = 1864.5238780975342s
Episode 123 done, steps = 30736, actions = [0:59/250 | 1:24/250 | 2:30/250 | 3:18/250 | 4:119/250 | ], loss = 58.68178176879883, rewards = -69.58174904942992, consume time = 1879.3401782512665s
Episode 124 done, steps = 30986, actions = [0:26/250 | 1:32/250 | 2:83/250 | 3:90/250 | 4:19/250 | ], loss = 56.91020584106445, rewards = 150.00000000000074, consume time = 1894.0129849910736s
Episode 125 done, steps = 31236, actions = [0:66/250 | 1:27/250 | 2:50/250 | 3:83/250 | 4:24/250 | ], loss = 58.25000762939453, rewards = 71.61716171617603, consume time = 1908.850583076477s
Episode 126 done, steps = 31486, actions = [0:45/250 | 1:31/250 | 2:54/250 | 3:71/250 | 4:49/250 | ], loss = 59.2984733581543, rewards = 76.02996254681572, consume time = 1923.5472462177277s
Episode 127 done, steps = 31736, actions = [0:118/250 | 1:24/250 | 2:52/250 | 3:45/250 | 4:11/250 | ], loss = 56.29740524291992, rewards = -7.849829351536505, consume time = 1938.3796970844269s
Episode 128 done, steps = 31986, actions = [0:25/250 | 1:42/250 | 2:55/250 | 3:115/250 | 4:13/250 | ], loss = 70.79594421386719, rewards = 171.18644067796947, consume time = 1953.2631530761719s
Episode 129 done, steps = 32236, actions = [0:32/250 | 1:24/250 | 2:33/250 | 3:140/250 | 4:21/250 | ], loss = 61.652854919433594, rewards = 190.909090909094, consume time = 1968.041356086731s
Episode 130 done, steps = 32486, actions = [0:44/250 | 1:63/250 | 2:31/250 | 3:89/250 | 4:23/250 | ], loss = 62.14634323120117, rewards = 45.45454545454736, consume time = 1983.245381116867s
Episode 131 done, steps = 32736, actions = [0:33/250 | 1:37/250 | 2:71/250 | 3:95/250 | 4:14/250 | ], loss = 64.46005249023438, rewards = 155.63909774436408, consume time = 1998.34543800354s
